time,"coordinates [x,y]",elevation,azimuth
20250901_111050,"[621, 1408]",42,233
20250901_111100,"[629, 1421]",42,234
20250901_111110,"[594, 1378]",43,229
20250901_111120,"[642, 1339]",48,230
20250901_111130,"[630, 1300]",50,226
20250901_111140,"[717, 1365]",50,239
20250901_111150,"[755, 1319]",55,240
20250901_111200,"[708, 1304]",54,234
20250901_111210,"[699, 1270]",56,230
20250901_111220,"[711, 1285]",56,233
20250901_111230,"[712, 1255]",58,230
20250901_111240,"[776, 1229]",63,236
20250901_111250,"[757, 1229]",62,233
20250901_111300,"[662, 1245]",55,224
20250901_111310,"[613, 1287]",50,223
20250901_111320,"[661, 1196]",58,218
20250901_111330,"[748, 1240]",61,233
20250901_111340,"[752, 1288]",57,238
20250901_111350,"[788, 1288]",59,242
20250901_111400,"[747, 1404]",48,244
20250901_111410,"[714, 1443]",44,243
20250901_111420,"[659, 1365]",47,233
20250901_111430,"[723, 1306]",55,236
20250901_111440,"[692, 1264]",56,229
20250901_111450,"[656, 1277]",53,226
20250901_111500,"[761, 1432]",47,247
20250901_111510,"[727, 1377]",50,241
20250901_111520,"[708, 1335]",52,236
20250901_111530,"[703, 1429]",45,241
20250901_111540,"[716, 1386]",48,240
20250901_111550,"[762, 1379]",51,245
20250901_111600,"[736, 1312]",55,238
20250901_111610,"[739, 1285]",57,236
20250901_111620,"[746, 1272]",58,236
20250901_111630,"[586, 1211]",52,214
20250901_111640,"[1074, 724]",68,64
20250901_111650,"[773, 1291]",58,241
20250901_111700,"[1073, 724]",68,64
20250901_111710,"[1066, 740]",70,64
20250901_111720,"[688, 1364]",49,236
20250901_111730,"[655, 1360]",47,233
20250901_111740,"[715, 1368]",50,239
20250901_111750,"[791, 1459]",45,251
20250901_111800,"[719, 1376]",49,240
20250901_111810,"[572, 1264]",48,218
20250901_111820,"[624, 1227]",54,218
20250901_111830,"[701, 1279]",55,231
20250901_111840,"[740, 1350]",52,241
20250901_111850,"[639, 1327]",49,229
20250901_111900,"[655, 1373]",47,234
20250901_111910,"[636, 1420]",42,235
20250901_111920,"[581, 1327]",45,224
20250901_111930,"[579, 1264]",49,219
20250901_111940,"[685, 1306]",53,232
20250901_111950,"[654, 1325]",50,230
20250901_112000,"[603, 1306]",48,224
20250901_112010,"[612, 1344]",46,228
20250901_112020,"[610, 1322]",47,226
20250901_112030,"[615, 1394]",43,232
20250901_112040,"[626, 1419]",42,234
20250901_112050,"[598, 1363]",44,228
20250901_112100,"[597, 1331]",46,226
20250901_112110,"[638, 1303]",50,227
20250901_112120,"[720, 1386]",49,241
20250901_112130,"[693, 1408]",46,239
20250901_112140,"[638, 1384]",45,233
20250901_112150,"[611, 1283]",50,223
20250901_112200,"[601, 1346]",45,227
20250901_112210,"[606, 1362]",45,229
20250901_112220,"[636, 1365]",46,231
20250901_112230,"[632, 1354]",47,230
20250901_112240,"[645, 1282]",52,226
20250901_112250,"[667, 1195]",58,219
20250901_112300,"[739, 1307]",55,238
20250901_112310,"[770, 1359]",53,245
20250901_112320,"[732, 1408]",47,243
20250901_112330,"[772, 1458]",45,249
20250901_112340,"[747, 1428]",46,246
20250901_112350,"[748, 1456]",44,247
20250901_112400,"[658, 1456]",41,239
20250901_112410,"[554, 1370]",41,225
20250901_112420,"[557, 1322]",44,222
20250901_112430,"[580, 1256]",49,218
20250901_112440,"[563, 1228]",50,214
20250901_112450,"[659, 1236]",56,223
20250901_112500,"[698, 1340]",51,235
20250901_112510,"[715, 1436]",45,243
20250901_112520,"[672, 1400]",45,237
20250901_112530,"[690, 1372]",48,237
20250901_112540,"[667, 1354]",48,233
20250901_112550,"[709, 1353]",51,237
20250901_112600,"[707, 1354]",50,237
20250901_112610,"[709, 1313]",54,235
20250901_112620,"[686, 1328]",51,233
20250901_112630,"[650, 1351]",48,232
20250901_112640,"[666, 1324]",50,231
20250901_112650,"[646, 1264]",53,224
20250901_112700,"[737, 1359]",51,241
20250901_112710,"[764, 1397]",50,246
20250901_112720,"[687, 1344]",50,235
20250901_112730,"[667, 1322]",51,231
20250901_112740,"[677, 1279]",54,228
