time,"coordinates [x,y]",elevation,azimuth
20250829_101100,"[1746, 1084]",21,351
20250829_101110,"[1735, 1030]",22,355
20250829_101120,"[1747, 1008]",21,357
20250829_101130,"[1730, 1015]",23,356
20250829_101140,"[1701, 1053]",26,353
20250829_101150,"[1727, 1007]",23,356
20250829_101200,"[1732, 989]",23,358
20250829_101210,"[1703, 976]",26,359
20250829_101220,"[1672, 996]",29,357
20250829_101230,"[1645, 1010]",31,356
20250829_101240,"[1641, 1041]",31,353
20250829_101250,"[1660, 1027]",30,355
20250829_101300,"[1691, 1034]",27,354
20250829_101310,"[1703, 1048]",25,353
20250829_101320,"[1719, 998]",24,357
20250829_101330,"[1717, 993]",24,358
20250829_101340,"[1729, 988]",23,358
20250829_101350,"[1736, 975]",23,359
20250829_101400,"[1744, 955]",22,0
20250829_101410,"[1751, 962]",21,360
20250829_101420,"[1767, 955]",20,0
20250829_101430,"[1759, 952]",20,1
20250829_101440,"[1753, 907]",21,4
20250829_101450,"[1729, 900]",23,4
20250829_101500,"[1732, 931]",23,2
20250829_101510,"[1740, 975]",22,359
20250829_101520,"[1703, 1005]",26,357
20250829_101530,"[1706, 999]",26,357
20250829_101540,"[1716, 980]",25,358
20250829_101550,"[1715, 986]",25,358
20250829_101600,"[1706, 1019]",25,355
20250829_101610,"[1694, 989]",27,358
20250829_101620,"[1725, 1011]",24,356
20250829_101630,"[1743, 1047]",22,354
20250829_101640,"[1743, 1076]",21,352
20250829_101650,"[1754, 1045]",20,354
20250829_101700,"[1749, 1034]",21,355
20250829_101710,"[1728, 1034]",23,354
20250829_101720,"[1725, 1040]",23,354
20250829_101730,"[1732, 1048]",23,354
20250829_101740,"[1740, 1061]",22,353
20250829_101750,"[1721, 1041]",24,354
20250829_101800,"[1725, 1034]",23,354
20250829_101810,"[1726, 998]",24,357
20250829_101820,"[1710, 1037]",25,354
20250829_101830,"[1735, 1053]",22,353
20250829_101840,"[1735, 1056]",22,353
20250829_101850,"[1712, 1052]",24,353
20250829_101900,"[1700, 1049]",26,353
20250829_101910,"[1645, 1020]",31,355
20250829_101920,"[1633, 1021]",32,355
20250829_101930,"[1663, 1068]",29,351
20250829_101940,"[1712, 1043]",25,354
20250829_101950,"[1741, 1024]",22,355
