S 25/09/01 12:17:08
D 3250 128.36  39.01
D 3255 128.36  39.89
D 3260 127.54  43.11
D 3265 125.73  42.94
D 3270 127.63  40.68
D 3275 127.99  40.68
D 3280 126.39  39.20
D 3285 124.68  40.05
D 3290 124.09  39.38
D 3295 124.10  38.29
D 3300 125.31  38.23
D 3305 126.05  39.93
D 3310 130.80  40.66
D 3315 129.96  44.17
D 3320 130.03  46.22
D 3325 130.95  48.09
D 3330 133.28  48.09
D 3335 137.92  47.53
D 3340 143.60  48.68
D 3345 146.44  48.65
D 3350 144.86  49.72
D 3355 141.63  48.28
D 3360 141.76  47.36
D 3365 136.33  48.08
D 3370 134.34  49.30
D 3375 135.08  47.43
D 3380 135.11  46.77
D 3385 136.63  48.36
D 3390 135.58  49.27
D 3395 131.23  51.95
D 3400 129.89  48.31
D 3405 127.80  43.85
D 3410 125.31  40.50
D 3415 124.38  35.02
D 3420 125.06  33.49
D 3425 125.72  35.66
D 3430 125.73  37.65
D 3435 129.95  38.72
D 3440 130.66  38.72
D 3445 135.30  40.52
D 3450 137.70  40.03
D 3455 138.20  36.78
D 3460 135.47  36.69
D 3465 134.06  36.46
D 3470 134.09  35.63
D 3475 135.13  38.47
D 3480 139.57  38.30
D 3485 137.84  39.53
D 3490 137.31  42.84
D 3495 137.80  43.56
D 3500 137.19  43.70
D 3505 139.23  43.70
D 3510 139.74  43.58
D 3515 143.43  43.58
D 3520 144.12  42.78
D 3525 144.54  44.58
D 3530 143.38  47.03
D 3535 135.74  47.03
D 3540 138.70  48.13
D 3545 145.11  48.87
D 3550 145.10  49.41
D 3555 145.10  49.41
D 3560 134.40  49.04
D 3565 133.67  46.69
D 3570 137.22  45.86
D 3575 135.65  43.10
D 3580 133.88  40.53
D 3585 130.57  38.83
D 3590 127.97  39.15
D 3595 127.25  40.22
D 3600 126.44  40.00
D 3605 125.80  39.68
D 3610 127.70  38.69
D 3615 129.52  40.94
D 3620 132.43  42.46
D 3625 130.96  40.21
D 3630 130.00  41.78
D 3635 124.82  40.93
D 3640 124.92  40.93
D 3645 124.85  41.33
D 3650 124.40  41.91
D 3655 129.38  42.51
D 3660 133.19  41.95
D 3665 134.04  43.30
D 3670 135.63  42.57
D 3675 135.18  41.95
D 3680 135.29  41.98
D 3685 137.02  42.33
D 3690 132.96  41.50
D 3695 134.64  41.80
D 3700 135.14  40.10
D 3705 132.16  39.53
D 3710 133.41  38.63
D 3715 137.76  39.57
D 3720 134.43  40.27
D 3725 132.39  39.63
D 3730 131.63  39.58
D 3735 131.10  37.50
D 3740 130.65  38.70
D 3745 131.17  39.95
D 3750 130.20  39.58
D 3755 133.39  40.82
D 3760 131.74  41.98
D 3765 131.46  41.67
D 3770 130.44  40.51
D 3775 136.21  42.51
D 3780 134.36  44.43
D 3785 131.61  45.31
D 3790 132.39  43.24
D 3795 133.79  42.60
D 3800 134.85  42.66
D 3805 135.46  40.81
D 3810 132.33  39.63
D 3815 126.94  37.81
D 3820 126.13  36.01
D 3825 128.22  38.18
D 3830 128.95  39.32
D 3835 132.32  37.72
D 3840 133.96  37.52
D 3845 135.66  36.84
D 3850 134.23  38.28
D 3855 132.74  39.03
D 3860 131.92  40.34
D 3865 127.90  43.54
D 3870 127.40  46.53
D 3875 131.53  46.89
D 3880 135.54  46.10
D 3885 138.94  43.85
D 3890 141.22  44.41
D 3895 142.27  44.16
D 3900 141.45  43.42
D 3905 142.32  41.05
D 3910 143.08  42.63
D 3915 139.97  42.25
D 3920 132.25  38.88
D 3925 132.74  38.78
D 3930 143.05  39.94
D 3935 146.87  44.00
D 3940 152.73  50.27
D 3945 152.96  46.18
D 3950 152.95  45.21
D 3955 151.83  42.94
D 3960 141.51  45.30
D 3965 136.26  43.73
D 3970 134.20  42.63
D 3975 129.88  41.78
D 3980 134.71  41.07
D 3985 134.11  43.01
D 3990 134.54  43.19
D 3995 133.26  44.89
D 4000 130.81  43.99
D 4005 129.51  43.23
D 4010 131.82  40.71
D 4015 131.79  39.88
D 4020 132.46  42.05
D 4025 126.54  43.57
D 4030 125.86  40.44
D 4035 124.08  40.91
D 4040 130.96  41.42
D 4045 133.30  41.34
D 4050 135.13  42.10
D 4055 137.95  41.46
D 4060 137.38  44.15
D 4065 135.58  49.00
D 4070 137.51  51.79
D 4075 148.62  47.46
D 4080 151.23  46.06
D 4085 147.36  43.78
D 4090 145.56  45.05
D 4095 145.28  43.69
D 4100 141.92  41.12
D 4105 142.22  40.98
D 4110 141.78  42.39
D 4115 143.10  42.97
D 4120 142.65  44.68
D 4125 140.92  44.63
D 4130 138.79  45.33
D 4135 133.41  42.23
D 4140 130.64  42.88
D 4145 130.08  42.78
D 4150 129.96  42.17
D 4155 133.25  39.97
D 4160 139.94  38.86
D 4165 141.15  40.33
D 4170 140.98  39.72
D 4175 141.95  40.13
D 4180 143.41  40.13
D 4185 136.83  41.63
D 4190 136.16  42.03
D 4195 134.96  44.14
D 4200 134.86  42.90
D 4205 134.93  40.81
D 4210 135.85  39.19
D 4215 138.48  39.34
D 4220 139.36  40.14
D 4225 139.89  42.55
D 4230 141.88  41.85
D 4235 140.55  42.13
D 4240 138.52  43.90
D 4245 139.03  42.12
D 4250 140.59  41.41
D 4255 144.91  37.80
D 4260 145.62  35.79
D 4265 145.83  31.83
D 4270 143.68  29.55
D 4275 142.53  29.79
D 4280 140.57  29.37
D 4285 139.25  32.25
D 4290 137.68  36.52
D 4295 140.81  40.03
D 4300 141.15  41.03
D 4305 144.39  41.37
D 4310 144.45  42.32
D 4315 143.44  42.30
D 4320 141.92  40.56
D 4325 140.05  38.79
D 4330 141.49  39.02
D 4335 140.64  41.66
D 4340 140.76  42.98
D 4345 137.99  43.43
D 4350 136.50  42.88
D 4355 136.09  45.06
D 4360 136.81  43.09
D 4365 138.05  39.41
D 4370 139.56  37.32
D 4375 137.31  36.45
D 4380 135.31  38.27
D 4385 136.07  37.44
D 4390 135.30  37.04
D 4395 135.05  37.67
D 4400 134.76  38.83
D 4405 131.59  39.58
D 4410 131.11  39.91
D 4415 131.46  39.29
D 4420 132.61  38.41
D 4425 134.10  39.12
D 4430 136.00  40.00
D 4435 137.41  38.27
D 4440 139.61  37.08
D 4445 140.08  37.90
D 4450 140.35  39.50
D 4455 138.91  39.37
D 4460 137.33  42.11
D 4465 137.62  40.31
D 4470 136.80  37.53
D 4475 134.13  37.83
D 4480 132.46  36.96
D 4485 132.53  36.33
D 4490 132.81  35.13
D 4495 134.09  35.27
E 4500 135.86  35.96
