S 25/09/01 12:17:09
D 2350  13.12  45.66
D 2355  15.57  49.73
D 2360  11.60  52.26
D 2365  11.72  51.24
D 2370  15.55  45.66
D 2375  18.23  43.10
D 2380  19.38  41.29
D 2385  19.07  41.93
D 2390  20.79  42.97
D 2395  20.44  39.90
D 2400  21.07  38.62
D 2405  20.05  41.67
D 2410  20.85  44.91
D 2415  15.25  46.87
D 2420   9.35  44.38
D 2425  12.45  47.36
D 2430  13.59  48.08
D 2435  10.19  48.03
D 2440   9.90  47.43
D 2445   9.70  46.06
D 2450   9.71  44.86
D 2455   9.87  44.66
D 2460  11.30  46.51
D 2465  15.43  47.23
D 2470  18.15  44.90
D 2475  17.97  40.47
D 2480  20.52  38.12
D 2485  18.48  36.58
D 2490  18.27  38.36
D 2495  19.10  38.44
D 2500  20.01  39.06
D 2505  21.58  37.11
D 2510  24.33  36.52
D 2515  27.92  37.08
D 2520  26.07  39.48
D 2525  26.95  40.03
D 2530  25.45  40.45
D 2535  22.57  42.60
D 2540  19.97  44.90
D 2545  24.53  45.98
D 2550  25.95  46.03
D 2555  27.20  48.00
D 2560  24.41  48.80
D 2565  25.41  49.57
D 2570  28.67  49.09
D 2575  26.04  45.52
D 2580  24.98  43.09
D 2585  24.93  42.53
D 2590  23.75  40.66
D 2595  20.32  40.10
D 2600  16.21  39.80
D 2605  14.67  39.69
D 2610  17.49  41.49
D 2615  22.76  42.54
D 2620  23.63  42.52
D 2625  24.46  43.93
D 2630  24.89  44.56
D 2635  22.80  45.75
D 2640  22.28  46.35
D 2645  21.24  47.68
D 2650  12.88  48.93
D 2655  10.64  49.67
D 2660  12.73  47.69
D 2665   8.77  46.90
D 2670   3.51  45.58
D 2675   3.42  46.73
D 2680   7.75  47.97
D 2685   8.49  49.28
D 2690  12.28  49.40
D 2695  13.37  49.06
D 2700  14.73  46.39
D 2705  17.18  44.12
D 2710  19.27  43.10
D 2715  19.63  45.55
D 2720  21.41  44.92
D 2725  25.36  42.15
D 2730  26.01  40.12
D 2735  24.54  36.72
D 2740  21.94  37.44
D 2745  17.53  39.42
D 2750  15.21  41.07
D 2755  16.97  39.97
D 2760  18.50  39.12
D 2765  16.57  40.37
D 2770  16.50  40.93
D 2775  14.41  41.09
D 2780  15.28  41.29
D 2785  16.33  39.36
D 2790  16.04  39.58
D 2795  14.37  38.60
D 2800  15.16  36.91
D 2805  14.35  38.29
D 2810  13.28  39.99
