time,"coordinates [x,y]",elevation,azimuth
20250829_103540,"[1812, 1037]",248,355
20250829_103550,"[1807, 1076]",248,352
20250829_103600,"[1792, 1092]",246,351
20250829_103610,"[1803, 1093]",248,351
20250829_103620,"[1812, 1053]",248,354
20250829_103630,"[1786, 1031]",245,355
20250829_103640,"[1772, 1002]",243,357
20250829_103650,"[1751, 1019]",240,356
20250829_103700,"[1760, 1024]",242,355
20250829_103710,"[1746, 1016]",240,356
20250829_103720,"[1751, 1005]",240,357
20250829_103730,"[1777, 1022]",244,356
20250829_103740,"[1736, 1088]",240,351
20250829_103750,"[1212, 888]",175,16
20250829_103800,"[1674, 1142]",234,346
20250829_103810,"[1696, 1101]",235,349
20250829_103820,"[1732, 1120]",240,348
20250829_103830,"[1744, 1092]",241,350
20250829_103840,"[1772, 1100]",244,350
20250829_103850,"[1767, 1154]",245,346
20250829_103900,"[1754, 1153]",243,346
20250829_103910,"[1765, 1090]",243,351
20250829_103920,"[1760, 1042]",242,354
20250829_103930,"[1752, 1017]",241,356
20250829_103940,"[1717, 986]",236,358
20250829_103950,"[1727, 938]",237,2
20250829_104000,"[1764, 984]",242,358
20250829_104010,"[1789, 998]",245,357
20250829_104020,"[1794, 1051]",246,354
20250829_104030,"[1807, 1052]",248,354
20250829_104040,"[1810, 1009]",248,357
20250829_104050,"[1813, 1006]",248,357
20250829_104100,"[1822, 1009]",249,357
20250829_104110,"[1819, 1032]",249,355
20250829_104120,"[1819, 1013]",249,356
20250829_104130,"[228, 1416]",249,212
20250829_104140,"[1805, 1015]",247,356
20250829_104150,"[1766, 1052]",243,353
20250829_104200,"[1754, 1092]",242,351
20250829_104210,"[1730, 1103]",239,349
20250829_104220,"[1712, 1106]",237,349
20250829_104230,"[1722, 1079]",238,351
20250829_104240,"[1733, 1064]",239,352
20250829_104250,"[1736, 1051]",239,353
20250829_104300,"[1701, 1080]",235,351
20250829_104310,"[1733, 1120]",240,348
20250829_104320,"[1747, 1154]",243,346
20250829_104330,"[1752, 1151]",243,346
20250829_104340,"[1744, 1131]",242,348
20250829_104350,"[1738, 1128]",241,348
20250829_104400,"[1757, 1157]",244,346
20250829_104410,"[1756, 1159]",244,346
20250829_104420,"[1728, 1183]",241,344
20250829_104430,"[1736, 1164]",242,345
20250829_104440,"[1746, 1130]",242,348
20250829_104450,"[1763, 1089]",243,351
20250829_104500,"[1743, 1122]",241,348
20250829_104510,"[1735, 1114]",240,349
20250829_104520,"[1717, 1112]",238,349
20250829_104530,"[1693, 1107]",235,349
20250829_104540,"[1697, 1135]",236,347
20250829_104550,"[1720, 1091]",238,350
20250829_104600,"[1724, 1075]",238,351
20250829_104610,"[1708, 1036]",235,354
20250829_104620,"[1718, 1047]",237,353
20250829_104630,"[1696, 1044]",234,353
20250829_104640,"[1698, 1055]",234,353
20250829_104650,"[1686, 1040]",233,354
20250829_104700,"[1699, 1040]",234,354
20250829_104710,"[1696, 1041]",234,354
20250829_104720,"[1725, 1029]",237,355
20250829_104730,"[1768, 1047]",243,354
20250829_104740,"[1776, 1079]",244,352
20250829_104750,"[1791, 1053]",246,354
20250829_104800,"[1816, 1055]",249,354
20250829_104810,"[1810, 1021]",248,356
20250829_104820,"[1807, 1029]",247,355
20250829_104830,"[1821, 1008]",249,357
20250829_104840,"[1807, 1017]",247,356
20250829_104850,"[1816, 1042]",249,355
20250829_104900,"[1805, 1039]",247,355
20250829_104910,"[1773, 1051]",243,354
20250829_104920,"[1752, 1108]",242,349
20250829_104930,"[1750, 1109]",242,349
20250829_104940,"[1743, 1104]",241,350
20250829_104950,"[1727, 1116]",239,349
20250829_105000,"[1733, 1145]",241,347
20250829_105010,"[1728, 1152]",240,346
20250829_105020,"[1740, 1151]",242,346
20250829_105030,"[1741, 1132]",241,348
20250829_105040,"[1724, 1131]",239,347
20250829_105050,"[1713, 1147]",238,346
20250829_105100,"[1702, 1127]",236,347
20250829_105110,"[1725, 1136]",239,347
20250829_105120,"[1728, 1132]",240,347
20250829_105130,"[1730, 1133]",240,347
20250829_105140,"[1738, 1123]",241,348
20250829_105150,"[1740, 1118]",241,349
20250829_105200,"[1772, 1082]",244,351
20250829_105210,"[1794, 1063]",246,353
20250829_105220,"[1797, 1071]",247,352
20250829_105230,"[1804, 1075]",248,352
20250829_105240,"[1808, 1079]",248,352
20250829_105250,"[1812, 1092]",249,351
20250829_105300,"[767, 1787]",247,257
20250829_105310,"[1085, 732]",175,61
20250829_105320,"[1085, 732]",175,61
20250829_105330,"[158, 1281]",249,202
20250829_105340,"[1084, 731]",175,62
20250829_105350,"[1084, 731]",175,62
20250829_105400,"[1813, 1087]",249,352
20250829_105410,"[1803, 1080]",248,352
20250829_105420,"[1784, 1075]",245,352
20250829_105430,"[1737, 1165]",242,345
20250829_105440,"[1725, 1203]",242,342
20250829_105450,"[1717, 1271]",244,338
20250829_105500,"[1723, 1272]",244,338
20250829_105510,"[1717, 1248]",243,339
20250829_105520,"[1684, 1256]",239,338
