time,"coordinates [x,y]",x,y,x_deviation,y_deviation,valid
20250903_135640,"[971, 684]",971,684,219.9711340206186,-322.49278350515465,False
20250903_135650,"[876, 1424]",876,1424,124.97113402061859,417.50721649484535,False
20250903_135700,"[883, 1468]",883,1468,131.9711340206186,461.50721649484535,False
20250903_135710,"[922, 1480]",922,1480,170.9711340206186,473.50721649484535,False
20250903_135720,"[1154, 570]",1154,570,402.9711340206186,-436.49278350515465,False
20250903_135730,"[827, 1383]",827,1383,75.97113402061859,376.50721649484535,False
20250903_135740,"[616, 613]",616,613,-135.0288659793814,-393.49278350515465,False
20250903_135750,"[916, 551]",916,551,164.9711340206186,-455.49278350515465,False
20250903_135800,"[722, 1466]",722,1466,-29.028865979381408,459.50721649484535,False
20250903_135810,"[936, 637]",936,637,184.9711340206186,-369.49278350515465,False
20250903_135820,"[716, 556]",716,556,-35.02886597938141,-450.49278350515465,False
20250903_135830,"[718, 593]",718,593,-33.02886597938141,-413.49278350515465,False
20250903_135840,"[729, 631]",729,631,-22.028865979381408,-375.49278350515465,False
20250903_135850,"[722, 684]",722,684,-29.028865979381408,-322.49278350515465,False
20250903_135900,"[782, 1411]",782,1411,30.971134020618592,404.50721649484535,False
20250903_135910,"[672, 526]",672,526,-79.02886597938141,-480.49278350515465,False
20250903_135920,"[682, 631]",682,631,-69.02886597938141,-375.49278350515465,False
20250903_135930,"[975, 672]",975,672,223.9711340206186,-334.49278350515465,False
20250903_135940,"[656, 658]",656,658,-95.02886597938141,-348.49278350515465,False
20250903_135950,"[747, 1438]",747,1438,-4.028865979381408,431.50721649484535,False
20250903_140000,"[802, 575]",802,575,50.97113402061859,-431.49278350515465,False
20250903_140010,"[909, 596]",909,596,157.9711340206186,-410.49278350515465,False
20250903_140020,"[898, 515]",898,515,146.9711340206186,-491.49278350515465,False
20250903_140030,"[804, 1444]",804,1444,52.97113402061859,437.50721649484535,False
20250903_140040,"[759, 673]",759,673,7.971134020618592,-333.49278350515465,False
20250903_140050,"[744, 1450]",744,1450,-7.028865979381408,443.50721649484535,False
20250903_140100,"[844, 711]",844,711,92.97113402061859,-295.49278350515465,False
20250903_140110,"[850, 729]",850,729,98.97113402061859,-277.49278350515465,False
20250903_140120,"[781, 1487]",781,1487,29.971134020618592,480.50721649484535,False
20250903_140130,"[655, 525]",655,525,-96.02886597938141,-481.49278350515465,False
20250903_140140,"[940, 728]",940,728,188.9711340206186,-278.49278350515465,False
20250903_140150,"[850, 730]",850,730,98.97113402061859,-276.49278350515465,False
20250903_140200,"[728, 1469]",728,1469,-23.028865979381408,462.50721649484535,False
20250903_140210,"[559, 511]",559,511,-192.0288659793814,-495.49278350515465,False
20250903_140220,"[658, 1481]",658,1481,-93.02886597938141,474.50721649484535,False
20250903_140230,"[507, 596]",507,596,-244.0288659793814,-410.49278350515465,False
20250903_140240,"[472, 396]",472,396,-279.0288659793814,-610.4927835051546,False
20250903_140250,"[959, 485]",959,485,207.9711340206186,-521.4927835051546,False
20250903_140300,"[847, 1402]",847,1402,95.97113402061859,395.50721649484535,False
20250903_140310,"[357, 461]",357,461,-394.0288659793814,-545.4927835051546,False
20250903_140320,"[843, 1385]",843,1385,91.97113402061859,378.50721649484535,False
20250903_140330,"[725, 1357]",725,1357,-26.028865979381408,350.50721649484535,False
20250903_140340,"[471, 524]",471,524,-280.0288659793814,-482.49278350515465,False
20250903_140350,"[459, 552]",459,552,-292.0288659793814,-454.49278350515465,False
20250903_140400,"[383, 456]",383,456,-368.0288659793814,-550.4927835051546,False
20250903_140410,"[460, 613]",460,613,-291.0288659793814,-393.49278350515465,False
20250903_140420,"[730, 573]",730,573,-21.028865979381408,-433.49278350515465,False
20250903_140430,"[399, 455]",399,455,-352.0288659793814,-551.4927835051546,False
20250903_140440,"[404, 455]",404,455,-347.0288659793814,-551.4927835051546,False
20250903_140450,"[397, 472]",397,472,-354.0288659793814,-534.4927835051546,False
20250903_140500,"[391, 495]",391,495,-360.0288659793814,-511.49278350515465,False
20250903_140510,"[396, 469]",396,469,-355.0288659793814,-537.4927835051546,False
20250903_140520,"[402, 468]",402,468,-349.0288659793814,-538.4927835051546,False
20250903_140530,"[406, 469]",406,469,-345.0288659793814,-537.4927835051546,False
20250903_140540,"[965, 440]",965,440,213.9711340206186,-566.4927835051546,False
20250903_140550,"[1131, 615]",1131,615,379.9711340206186,-391.49278350515465,False
20250903_140600,"[741, 1394]",741,1394,-10.028865979381408,387.50721649484535,False
20250903_140610,"[320, 591]",320,591,-431.0288659793814,-415.49278350515465,False
20250903_140620,"[487, 490]",487,490,-264.0288659793814,-516.4927835051546,False
20250903_140630,"[706, 1428]",706,1428,-45.02886597938141,421.50721649484535,False
20250903_140640,"[791, 526]",791,526,39.97113402061859,-480.49278350515465,False
20250903_140650,"[479, 575]",479,575,-272.0288659793814,-431.49278350515465,False
20250903_140700,"[749, 588]",749,588,-2.0288659793814077,-418.49278350515465,False
20250903_140710,"[757, 631]",757,631,5.971134020618592,-375.49278350515465,False
20250903_140720,"[733, 685]",733,685,-18.028865979381408,-321.49278350515465,False
20250903_140730,"[660, 547]",660,547,-91.02886597938141,-459.49278350515465,False
20250903_140740,"[512, 575]",512,575,-239.0288659793814,-431.49278350515465,False
20250903_140750,"[761, 1432]",761,1432,9.971134020618592,425.50721649484535,False
20250903_140800,"[461, 669]",461,669,-290.0288659793814,-337.49278350515465,False
20250903_140810,"[802, 1464]",802,1464,50.97113402061859,457.50721649484535,False
20250903_140820,"[795, 1452]",795,1452,43.97113402061859,445.50721649484535,False
20250903_140830,"[855, 1411]",855,1411,103.97113402061859,404.50721649484535,False
20250903_140840,"[703, 641]",703,641,-48.02886597938141,-365.49278350515465,False
20250903_140850,"[595, 592]",595,592,-156.0288659793814,-414.49278350515465,False
20250903_140900,"[777, 1470]",777,1470,25.971134020618592,463.50721649484535,False
20250903_140910,"[773, 1475]",773,1475,21.971134020618592,468.50721649484535,False
20250903_140920,"[827, 1459]",827,1459,75.97113402061859,452.50721649484535,False
20250903_140930,"[803, 611]",803,611,51.97113402061859,-395.49278350515465,False
20250903_140940,"[841, 731]",841,731,89.97113402061859,-275.49278350515465,False
20250903_140950,"[450, 455]",450,455,-301.0288659793814,-551.4927835051546,False
20250903_141000,"[591, 843]",591,843,-160.0288659793814,-163.49278350515465,False
20250903_141010,"[572, 840]",572,840,-179.0288659793814,-166.49278350515465,False
20250903_141020,"[909, 1457]",909,1457,157.9711340206186,450.50721649484535,False
20250903_141030,"[637, 556]",637,556,-114.02886597938141,-450.49278350515465,False
20250903_141040,"[772, 1468]",772,1468,20.971134020618592,461.50721649484535,False
20250903_141050,"[1037, 508]",1037,508,285.9711340206186,-498.49278350515465,False
20250903_141100,"[452, 511]",452,511,-299.0288659793814,-495.49278350515465,False
20250903_141110,"[887, 667]",887,667,135.9711340206186,-339.49278350515465,False
20250903_141120,"[823, 436]",823,436,71.97113402061859,-570.4927835051546,False
20250903_141130,"[639, 815]",639,815,-112.02886597938141,-191.49278350515465,False
20250903_141140,"[685, 1475]",685,1475,-66.02886597938141,468.50721649484535,False
20250903_141150,"[829, 714]",829,714,77.97113402061859,-292.49278350515465,False
20250903_141200,"[838, 732]",838,732,86.97113402061859,-274.49278350515465,False
20250903_141210,"[838, 731]",838,731,86.97113402061859,-275.49278350515465,False
20250903_141220,"[875, 1481]",875,1481,123.97113402061859,474.50721649484535,False
20250903_141230,"[796, 764]",796,764,44.97113402061859,-242.49278350515465,False
20250903_141240,"[824, 1446]",824,1446,72.97113402061859,439.50721649484535,False
20250903_141250,"[896, 514]",896,514,144.9711340206186,-492.49278350515465,False
20250903_141300,"[866, 1467]",866,1467,114.97113402061859,460.50721649484535,False
20250903_141310,"[888, 1488]",888,1488,136.9711340206186,481.50721649484535,False
20250903_141320,"[853, 1480]",853,1480,101.97113402061859,473.50721649484535,False
20250903_141330,"[754, 563]",754,563,2.9711340206185923,-443.49278350515465,False
20250903_141340,"[599, 1443]",599,1443,-152.0288659793814,436.50721649484535,False
20250903_141350,"[791, 576]",791,576,39.97113402061859,-430.49278350515465,False
20250903_141400,"[856, 565]",856,565,104.97113402061859,-441.49278350515465,False
20250903_141410,"[875, 573]",875,573,123.97113402061859,-433.49278350515465,False
20250903_141420,"[896, 581]",896,581,144.9711340206186,-425.49278350515465,False
20250903_141430,"[885, 1455]",885,1455,133.9711340206186,448.50721649484535,False
20250903_141440,"[477, 719]",477,719,-274.0288659793814,-287.49278350515465,False
20250903_141450,"[835, 732]",835,732,83.97113402061859,-274.49278350515465,False
20250903_141500,"[835, 733]",835,733,83.97113402061859,-273.49278350515465,False
20250903_141510,"[836, 733]",836,733,84.97113402061859,-273.49278350515465,False
20250903_141520,"[778, 1535]",778,1535,26.971134020618592,528.5072164948454,False
20250903_141530,"[776, 1490]",776,1490,24.971134020618592,483.50721649484535,False
20250903_141540,"[791, 1432]",791,1432,39.97113402061859,425.50721649484535,False
20250903_141550,"[788, 1388]",788,1388,36.97113402061859,381.50721649484535,False
20250903_141600,"[834, 1393]",834,1393,82.97113402061859,386.50721649484535,False
20250903_141610,"[920, 1378]",920,1378,168.9711340206186,371.50721649484535,False
20250903_141620,"[703, 503]",703,503,-48.02886597938141,-503.49278350515465,False
20250903_141630,"[972, 1378]",972,1378,220.9711340206186,371.50721649484535,False
20250903_141640,"[559, 581]",559,581,-192.0288659793814,-425.49278350515465,False
20250903_141650,"[667, 584]",667,584,-84.02886597938141,-422.49278350515465,False
20250903_141700,"[918, 1444]",918,1444,166.9711340206186,437.50721649484535,False
20250903_141710,"[695, 599]",695,599,-56.02886597938141,-407.49278350515465,False
20250903_141720,"[839, 1368]",839,1368,87.97113402061859,361.50721649484535,False
20250903_141730,"[836, 1408]",836,1408,84.97113402061859,401.50721649484535,False
20250903_141740,"[883, 1430]",883,1430,131.9711340206186,423.50721649484535,False
20250903_141750,"[853, 1415]",853,1415,101.97113402061859,408.50721649484535,False
20250903_141800,"[808, 1437]",808,1437,56.97113402061859,430.50721649484535,False
20250903_141810,"[875, 1447]",875,1447,123.97113402061859,440.50721649484535,False
20250903_141820,"[866, 1467]",866,1467,114.97113402061859,460.50721649484535,False
20250903_141830,"[1433, 813]",1433,813,681.9711340206186,-193.49278350515465,False
20250903_141840,"[823, 1443]",823,1443,71.97113402061859,436.50721649484535,False
20250903_141850,"[795, 1482]",795,1482,43.97113402061859,475.50721649484535,False
20250903_141900,"[844, 1466]",844,1466,92.97113402061859,459.50721649484535,False
20250903_141910,"[767, 1366]",767,1366,15.971134020618592,359.50721649484535,False
20250903_141920,"[867, 1444]",867,1444,115.97113402061859,437.50721649484535,False
20250903_141930,"[943, 1444]",943,1444,191.9711340206186,437.50721649484535,False
20250903_141940,"[922, 1432]",922,1432,170.9711340206186,425.50721649484535,False
20250903_141950,"[820, 1419]",820,1419,68.97113402061859,412.50721649484535,False
